id,resistance,vitesse,satiete,vision,time_lived,food_eaten,distance_traveled,nb_minos,ratio_food
33.0,3.3103681838906964,9.215544945406746,0.17191224849019782,224.707742320872,497.0,23.0,6063.828574077606,40,1.0
34.0,2.6872775165595297,6.228557934954064,0.27689124823329814,284.03476816509124,221.0,4.0,2099.024024079527,40,1.0
35.0,2.568984652575993,8.039401299298337,1.4933422211309118,185.63618242459958,503.0,11.0,6117.984388766033,40,1.0
36.0,1.2973639248073094,8.443728921952292,0.8964927715634676,248.62266189537422,395.0,9.0,5133.787184546967,40,1.0
37.0,3.610093559688928,7.186239484471168,1.0118158296554525,241.97896481487248,651.0,25.0,6747.878875918383,40,1.0
38.0,1.6903104082882938,7.55253319873412,2.0767742681624224,200.6639796541067,126.0,0.0,1518.0591729455589,40,1.0
39.0,1.2874147754015564,9.118710338328613,1.5703837913279306,240.12071836920663,400.0,13.0,5644.4816994254725,40,1.0
0.0,1.37062314310672,8.594604113474993,0.1409487379918557,176.40820464958568,142.0,2.0,1736.1100309219553,40,0.2
1.0,1.443651136171233,9.929827355314902,1.4853921004264543,274.4046491176047,137.0,1.0,2244.140982301177,40,0.2
2.0,3.0785943260645237,10.032928320840398,0.627032659613789,241.54697870048912,125.0,1.0,2066.783234093128,40,0.2
3.0,0.1,4.359422006223626,1.2017999155530101,208.43597133945963,13.0,0.0,113.34497216181425,40,0.2
4.0,2.458049894705841,7.898101564582798,1.2035456677606673,199.21586446846567,148.0,1.0,1848.1557661123663,40,0.2
5.0,1.4470013497905705,7.756821196385109,0.6466819696750203,225.30890121822995,208.0,3.0,2381.3441072902333,40,0.2
6.0,1.6240346166097694,12.183488973337003,0.9164027503588873,185.18186251480213,98.0,0.0,1547.3030996138016,40,0.2
7.0,1.8525926268565829,6.843803827699497,1.5822402171084007,183.88359608397406,197.0,2.0,2511.676004765717,40,0.2
8.0,3.293868424939407,5.965716110349259,1.3443844697571135,208.57389105021616,124.0,0.0,1336.3204087182287,40,0.2
9.0,0.2854204638291795,5.3146033591569575,1.395996273059129,258.40046949747773,34.0,0.0,356.07842506351585,40,0.2
10.0,1.7379546183053234,8.35094469617927,1.3653075084289834,313.6831340217892,245.0,4.0,3073.1476481939862,40,0.2
11.0,2.110184469060128,6.932234823357927,0.6545280130487098,217.77213595547514,118.0,0.0,1185.412154794206,40,0.2
12.0,2.533876281794422,6.60845066609382,1.2088037666121485,287.2462422874931,158.0,1.0,1533.1605545337716,40,0.2
13.0,0.1,5.597522608440348,2.1107490171844576,264.76188483492575,12.0,0.0,134.34054260256832,40,0.2
14.0,0.996606601706781,9.06216216583,0.5336040239991537,263.6233376571019,94.0,1.0,1531.5054060252683,40,0.2
15.0,0.6981904314004252,10.485602613152455,0.6552702939357258,226.54581268039735,125.0,2.0,2044.6925095647246,40,0.2
16.0,2.6996211885511037,8.069926495592098,2.1423428966803537,157.88800957935888,198.0,2.0,2170.810227314284,40,0.2
17.0,1.2467565354780095,8.48552170436481,1.217468794842621,209.50035312900255,112.0,0.0,1671.6477757598705,40,0.2
18.0,0.29474286868509236,8.0302897605433,1.568700314912638,259.6809690887264,29.0,0.0,264.9995620979289,40,0.2
19.0,1.5506836860154802,8.432118807025194,2.1396864413652192,247.82198008512805,211.0,3.0,2858.48827558156,40,0.2
20.0,2.1769078809832356,6.166142191262413,1.950662269334932,218.9004240540619,115.0,0.0,1159.234731957337,40,0.2
21.0,2.7386078935932496,7.027607295127057,1.5799502013075024,229.06638101726318,115.0,0.0,990.8926286129135,40,0.2
22.0,0.1,9.530924859248636,0.899760776220798,263.214147347825,12.0,0.0,209.68034690347008,40,0.2
23.0,1.1587754083590496,3.5522789399794332,0.545849053082742,250.72907477735308,147.0,1.0,912.9356875747201,40,0.2
24.0,2.5710814047345076,6.936334259598425,0.39709929614044714,282.0187853721757,117.0,0.0,1380.3305176600866,40,0.2
25.0,4.729231018376228,7.911557923303558,1.653511540776349,183.36576557301083,120.0,0.0,1780.1005327432931,40,0.2
26.0,1.825754920432745,6.09813388609671,0.5578836336704447,352.7214191666111,116.0,0.0,1207.430509447147,40,0.2
27.0,2.568946219961303,8.686753803586605,0.7682243172652049,276.8741594435861,138.0,1.0,1824.2182987531778,40,0.2
28.0,2.3010365032137985,7.079748898287798,1.4424667506184319,260.49729129059534,117.0,0.0,1479.6675197421482,40,0.2
29.0,0.1,8.80260918759165,0.8327040875485651,241.44299587642607,11.0,0.0,193.65740212701638,40,0.2
30.0,1.357193275566772,4.052180123884794,1.0681126016930524,252.88407245575326,128.0,0.0,956.3145092368117,40,0.2
31.0,0.6580516928066675,7.787933743214008,1.6387612723422755,189.1397763917025,88.0,1.0,1043.5831215906771,40,0.2
32.0,1.2908315874794474,10.304222358540125,0.5262698115960233,322.04972101434277,119.0,2.0,1834.1515798201358,40,0.2
33.0,0.13293908889947614,5.995325512056247,0.9076007789476745,234.67852894933736,15.0,0.0,179.8597653616873,40,0.2
34.0,2.226254011650173,5.577887052581259,1.599774168164803,231.5459714732186,168.0,1.0,1684.5218898795322,40,0.2
35.0,2.7166126503179164,6.452333563050042,0.9916478835160722,245.8244424979118,146.0,1.0,1645.345058577751,40,0.2
36.0,1.0240698892280546,7.157447830452345,1.0864727744924148,286.34958626417426,95.0,0.0,1252.5533703291637,40,0.2
37.0,2.9927522604338743,8.561896655716366,1.0540340807986461,265.5569097524194,110.0,0.0,1130.1703585545602,40,0.2
38.0,0.1,6.241871011629666,0.6718400580006074,195.29590139299833,12.0,0.0,149.80490427911198,40,0.2
39.0,2.910165265208299,8.174248376463062,0.8199375811741308,257.97936692302244,121.0,0.0,1389.6222239987233,40,0.2
0.0,3.2896732548792382,8.264090716293088,1.115330615232254,128.80484449695368,115.0,0.0,1330.518605323192,40,0.1111111111111111
1.0,1.9141811846188959,7.379047008127336,0.1,224.4260843631524,131.0,1.0,1431.535119576707,40,0.1111111111111111
2.0,3.2250030897542077,8.326227943816118,0.5176730358417884,159.83451364758878,134.0,1.0,1390.4800666172885,40,0.1111111111111111
3.0,0.4882052457351018,6.487860897937439,0.8503653111145092,231.02706554720024,82.0,1.0,875.8612212215562,40,0.1111111111111111
4.0,1.0887798031555835,6.7743954805370725,1.462894813718381,266.6294080724658,149.0,1.0,1619.080519848368,40,0.1111111111111111
5.0,3.1219055920824346,7.420106722192105,1.3137496117276726,282.0255944030155,117.0,0.0,1320.778996550194,40,0.1111111111111111
6.0,2.1744934405689778,10.037753419004128,0.665002742324261,210.06848583948513,103.0,0.0,1314.9456978895396,40,0.1111111111111111
7.0,0.698380217963442,9.117756314668911,1.5080813314617139,248.81566007582086,66.0,0.0,1112.366270389606,40,0.1111111111111111
8.0,3.3936917317277704,7.533741552327281,0.9068341211268587,226.7551788955803,115.0,0.0,1243.0673561339966,40,0.1111111111111111
9.0,1.3799278376637059,8.446893493943321,0.5038915954565832,224.29787563965624,113.0,0.0,1334.6091720430409,40,0.1111111111111111
10.0,3.7215214516836888,8.780519992583105,0.1,334.79122159222777,117.0,1.0,1606.8351586427066,40,0.1111111111111111
11.0,2.0705522665046505,7.026181727952686,0.9468464838891035,142.19265991355752,150.0,1.0,1594.9432522452603,40,0.1111111111111111
12.0,1.8043684076718305,5.547028653776351,1.2831568850348836,229.8827643575825,152.0,1.0,1336.8339055601007,40,0.1111111111111111
13.0,1.7461616769236152,5.580427503510936,1.5682191972192363,282.37601003167885,123.0,0.0,1077.0225081776084,40,0.1111111111111111
14.0,3.313589920897157,8.550409435951691,0.7361266710814658,134.39935518140035,113.0,0.0,1325.3134625725104,40,0.1111111111111111
15.0,0.5392545887112021,7.042586303707621,1.7360660629710989,265.72524182038126,50.0,0.0,380.2996604002111,40,0.1111111111111111
16.0,1.0222589503995145,8.828052375455071,1.5391252145721568,203.67994732855502,143.0,2.0,1924.5154178492146,40,0.1111111111111111
17.0,3.2704862039246407,10.448114801826957,1.1107545924604154,226.5770390000778,99.0,0.0,1117.9482837954824,40,0.1111111111111111
18.0,3.071247675894263,5.434561980583075,0.8320253965072737,263.204280561239,117.0,0.0,896.7027267962092,40,0.1111111111111111
19.0,2.5595253363456223,5.135087641364975,0.7906950982326418,292.1792753475903,120.0,0.0,970.5315642179803,40,0.1111111111111111
20.0,0.9114416440796873,6.206255675569419,0.392300258330351,177.05248408498628,109.0,1.0,924.7320956598439,40,0.1111111111111111
21.0,1.6591038821239337,7.869409135729583,0.5687866319303481,200.84953824527952,109.0,0.0,1156.8031429522487,40,0.1111111111111111
22.0,2.4987374619273997,7.198434493962053,0.6104799078083426,281.4084603715081,135.0,1.0,1490.0759402501378,40,0.1111111111111111
23.0,3.0206639024975113,6.910334443077587,0.20574310644069238,273.0686898858439,115.0,0.0,1133.2948486647208,40,0.1111111111111111
24.0,2.8983914693682813,10.584320278518522,1.465984348585457,251.15420442919208,103.0,0.0,1714.659885120003,40,0.1111111111111111
25.0,2.0225613946532874,6.029186649982274,1.5929610082884063,210.4498739590144,122.0,0.0,1018.9325438470063,40,0.1111111111111111
26.0,1.9512766680724805,8.25431563704434,0.705538039306369,217.50650517375152,160.0,2.0,1659.1174430459102,40,0.1111111111111111
27.0,1.119838733884436,6.296557104325963,1.6953062900628162,178.61715388618524,110.0,0.0,1152.269950091654,40,0.1111111111111111
28.0,3.9205771220486048,7.618673722629939,1.2133086323258417,181.22512774886098,115.0,0.0,1752.2949562048811,40,0.1111111111111111
29.0,2.807913859206675,6.934058529579709,0.5939455106559727,298.1441761797438,163.0,2.0,1990.074797989378,40,0.1111111111111111
30.0,1.8101702830740796,5.719744812532455,0.9364376836397169,281.10080061560967,109.0,0.0,869.4012115049319,40,0.1111111111111111
31.0,1.402219074139858,4.009504207618258,1.126674014987928,240.41651208364732,145.0,1.0,825.9578667693642,40,0.1111111111111111
32.0,1.4628124745817968,9.914215549311962,1.0882299090715555,204.63013708731552,104.0,0.0,1308.6764525091758,40,0.1111111111111111
33.0,1.2409781879791708,7.726321089909896,0.1,231.8702936689684,107.0,0.0,1073.9586314974756,40,0.1111111111111111
34.0,2.122688765843138,10.311103964034249,0.18857302429982192,147.34233299634235,105.0,0.0,1340.4435153244501,40,0.1111111111111111
35.0,1.8638776620081372,7.610847564260062,0.6216069617578637,252.71648970881992,115.0,0.0,1027.4644211751101,40,0.1111111111111111
